Ion,wave_air,wave_vac,primary
NI,7468.31,7470.367,0
[SXII],7611,7613.095,0
[ArIII],7751.06,7753.193,0
OI,7774.156,7776.3,0
HeI,7816.136,7818.287,0
ArI,7868.194,7870.359,0
[NiIII],7889.9,7892.071,0
[FeXI],7891.824,7894,0
HeII,8236.79,8239.054,0
Pa20,8392.397,8394.703,0
Pa19,8413.318,8415.63,0
Pa18,8437.956,8440.275,0
OI,8446.374,8448.7,0
Pa17,8467.254,8469.581,0
CaII,8498.06,8500.4,0
Pa16,8502.483,8504.819,0
CaII,8542.048,8544.4,0
Pa15,8545.383,8547.731,0
[ClII],8578.7,8581.057,0
Pa14,8598.432,8600.8,0
[FeII],8616.927,8619.3,0
CaII,8662.115,8664.5,0
Pa13,8665.014,8667.4,0
NI,8680.282,8682.666,0
NI,8703.247,8705.637,0
NI,8711.703,8714.096,0
Pa12,8750.491,8752.9,0
Pa11,8862.761,8865.2,0
[FeII],8891.91,8894.351,0
Pa10,9014.919,9017.4,0
[SIII],9068.605,9071.1,0
[FeII],9226.562,9229.1,0
Pa9,9228.961,9231.5,0
[SIII],9530.579,9533.2,0
Paε,9545.975,9548.6,0
[CI],9824.099,9826.8,0
[CI],9850.292,9853,0
[SVIII],9911.076,9913.8,0
HeI,10027.73,10030.479,0
HeI,10031.16,10033.91,0
Paδ,10049.338,10052.1,0
HeII,10123.618,10126.4,0
[SII],10286.773,10289.6,0
[SII],10320.464,10323.3,0
[SII],10336.36,10339.2,0
[SII],10370.451,10373.3,0
[NI],10397.743,10400.6,0
[NI],10407.341,10410.2,0
[FeXIII],10746.8,10749.744,0
HeI,10830.225,10833.2,1
Paγ,10938.096,10941.1,1
OI,11286.901,11290,1
[PII],11468.152,11471.3,0
HeII,11626.408,11629.6,0
[PII],11882.839,11886.1,0
[SIX],12519.565,12523,0
[FeII],12566.752,12570.2,0
[FeII],12787.792,12791.3,0
Paβ,12818.084,12821.6,1
OI,13164.889,13168.5,0
[FeII],13205.578,13209.2,0
[SiX],14300.979,14304.9,0
[FeII],15334.697,15338.9,0
[FeII],16435.497,16440,0
[FeII],16768.706,16773.3,0
Br11,16806.495,16811.1,0
Br10,17362.144,17366.9,0
Brε,18174.122,18179.1,0
Paα,18750.964,18756.1,1
Brδ,19445.574,19450.9,0
H2,19564.642,19570,0
[SiVI],19644.62,19650,0
H2,20326.434,20332,0
H2,21207.193,21213,0
Brγ,21655.271,21661.2,0
H2,22223.915,22230,0
H2,22463.85,22470,0
[CaVIII],23204.647,23211,0
